season,team,conference,statName,statValue
2021,SMU,American Athletic,interceptionYards,120
2021,Arizona State,Pac-12,passAttempts,313
2021,Georgia,SEC,turnovers,17
2021,Wake Forest,ACC,penaltyYards,737
2021,UAB,Conference USA,firstDowns,232
2021,Appalachian State,Sun Belt,passCompletions,255
2021,South Carolina,SEC,interceptionYards,296
2021,Iowa,Big Ten,passingTDs,12
2021,Charlotte,Conference USA,fourthDowns,35
2021,Alabama,SEC,netPassingYards,5073
2021,UCF,American Athletic,passCompletions,252
2021,Iowa,Big Ten,fumblesRecovered,8
2021,Georgia State,Sun Belt,turnovers,15
2021,Vanderbilt,SEC,fumblesRecovered,3
2021,Houston,American Athletic,possessionTime,28214
2021,Louisville,ACC,puntReturnYards,157
2021,Florida International,Conference USA,penalties,71
2021,New Mexico State,FBS Independents,fumblesLost,6
2021,Bowling Green,Mid-American,puntReturnTDs,0
2021,Texas State,Sun Belt,kickReturnYards,769
2021,Texas,Big 12,puntReturns,17
2021,Colorado,Pac-12,passCompletions,154
2021,SMU,American Athletic,interceptions,12
2021,Florida Atlantic,Conference USA,rushingAttempts,449
2021,West Virginia,Big 12,tacklesForLoss,82
2021,Nevada,Mountain West,passingTDs,38
2021,Marshall,Conference USA,passAttempts,491
2021,Arkansas State,Sun Belt,totalYards,4732
2021,Miami,ACC,thirdDownConversions,73
2021,Toledo,Mid-American,puntReturnYards,232
2021,LSU,SEC,turnovers,16
2021,Miami,ACC,fumblesLost,7
2021,Tennessee,SEC,possessionTime,19116
2021,North Texas,Conference USA,kickReturnTDs,0
2021,Kentucky,SEC,fourthDowns,16
2021,Syracuse,ACC,interceptions,6
2021,San Diego State,Mountain West,penaltyYards,950
2021,Colorado,Pac-12,interceptions,3
2021,Arkansas State,Sun Belt,games,12
2021,Oregon,Pac-12,kickReturns,38
2021,Southern Mississippi,Conference USA,rushingTDs,8
2021,Georgia,SEC,passesIntercepted,16
2021,Auburn,SEC,possessionTime,21736
2021,Syracuse,ACC,passingTDs,10
2021,Western Kentucky,Conference USA,possessionTime,23244
2021,UCLA,Pac-12,fumblesRecovered,9
2021,Kansas,Big 12,fumblesRecovered,7
2021,Florida International,Conference USA,thirdDownConversions,53
2021,Georgia Southern,Sun Belt,puntReturns,11
2021,Clemson,ACC,kickReturns,21
2021,Georgia State,Sun Belt,penalties,70
2021,Western Michigan,Mid-American,games,13
2021,USC,Pac-12,passesIntercepted,14
2021,Army,FBS Independents,passCompletions,60
2021,Arkansas State,Sun Belt,puntReturns,17
2021,Houston,American Athletic,interceptionTDs,2
2021,Ball State,Mid-American,penalties,64
2021,Vanderbilt,SEC,kickReturnTDs,0
2021,Auburn,SEC,puntReturnTDs,1
2021,Air Force,Mountain West,sacks,37
2021,Oregon,Pac-12,thirdDownConversions,91
2021,TCU,Big 12,puntReturnTDs,0
2021,UAB,Conference USA,penaltyYards,1126
2021,Troy,Sun Belt,passAttempts,419
2021,LSU,SEC,firstDowns,252
2021,North Carolina,ACC,tacklesForLoss,71
2021,Texas A&M,SEC,fumblesLost,3
2021,Arizona,Pac-12,passesIntercepted,4
2021,Arkansas State,Sun Belt,interceptionYards,93
2021,Appalachian State,Sun Belt,passesIntercepted,15
2021,UAB,Conference USA,thirdDowns,169
2021,Kansas State,Big 12,sacks,30
2021,Indiana,Big Ten,interceptions,15
2021,Louisiana Tech,Conference USA,firstDowns,249
2021,Texas State,Sun Belt,totalYards,4107
2021,Louisiana,Sun Belt,tacklesForLoss,85
2021,Houston,American Athletic,kickReturnYards,878
2021,Wisconsin,Big Ten,thirdDowns,169
2021,USC,Pac-12,kickReturnYards,617
2021,UMass,FBS Independents,possessionTime,21426
2021,Coastal Carolina,Sun Belt,rushingTDs,36
2021,South Carolina,SEC,passAttempts,360
2021,West Virginia,Big 12,rushingYards,1601
2021,Coastal Carolina,Sun Belt,thirdDowns,143
2021,Bowling Green,Mid-American,sacks,28
2021,South Carolina,SEC,fumblesRecovered,13
2021,UAB,Conference USA,turnovers,17
2021,UNLV,Mountain West,penalties,54
2021,Temple,American Athletic,puntReturns,15
2021,San José State,Mountain West,puntReturnYards,138
2021,San Diego State,Mountain West,totalYards,4799
2021,Miami,ACC,sacks,33
2021,Oregon,Pac-12,fourthDownConversions,9
2021,Michigan State,Big Ten,kickReturnTDs,0
2021,Rutgers,Big Ten,netPassingYards,2229
2021,NC State,ACC,kickReturnTDs,2
2021,Washington,Pac-12,penaltyYards,474
2021,Iowa,Big Ten,turnovers,19
2021,UCLA,Pac-12,kickReturns,25
2021,BYU,FBS Independents,fumblesRecovered,4
2021,Buffalo,Mid-American,puntReturnTDs,0
2021,Central Michigan,Mid-American,passAttempts,448
2021,UT San Antonio,Conference USA,turnovers,13
2021,South Florida,American Athletic,firstDowns,243
2021,Colorado State,Mountain West,interceptionTDs,0
2021,Georgia State,Sun Belt,passAttempts,311
2021,Texas Tech,Big 12,fumblesLost,9
2021,Iowa,Big Ten,puntReturnTDs,1
2021,Toledo,Mid-American,fourthDownConversions,10
2021,Army,FBS Independents,thirdDownConversions,82
2021,Arizona,Pac-12,interceptions,18
2021,Boise State,Mountain West,fourthDownConversions,6
2021,TCU,Big 12,penalties,85
2021,Florida State,ACC,rushingYards,2134
2021,Nebraska,Big Ten,puntReturnYards,30
2021,Clemson,ACC,kickReturnTDs,0
2021,Georgia Tech,ACC,interceptions,10
2021,Georgia Tech,ACC,kickReturns,37
2021,Missouri,SEC,netPassingYards,3036
2021,California,Pac-12,puntReturnYards,100
2021,Alabama,SEC,penaltyYards,990
2021,East Carolina,American Athletic,turnovers,22
2021,UAB,Conference USA,netPassingYards,2682
2021,South Carolina,SEC,fourthDownConversions,14
